param_type,param_val,overlap,mean of props,std of props,mean of raw count,std of raw count
Number of RDS Seeds,10,contact->genetic,5.295654103065473e-06,8.372397564427721e-06,0.544,0.9209039037814966
Number of RDS Seeds,20,contact->genetic,1.8954211405066784e-05,2.0119209902855454e-05,1.86,1.9596938536414306
Number of RDS Seeds,30,contact->genetic,3.859926280324834e-05,2.8311974245809698e-05,4.38,5.795480998157099
Number of RDS Seeds,40,contact->genetic,6.290790485149743e-05,3.959483699455352e-05,6.892,8.47397993861208
Number of RDS Seeds,50,contact->genetic,9.897852172197268e-05,4.586723945891884e-05,10.824,13.61326647061608
Number of RDS Seeds,60,contact->genetic,0.00014481195296726606,6.218900549034543e-05,16.052,17.606172099579172
Number of RDS Seeds,70,contact->genetic,0.00019269234324307844,7.318696594393949e-05,20.916,21.655967861077002
Number of RDS Seeds,80,contact->genetic,0.00026046845706586825,9.575276291756193e-05,30.104,45.624786947447774
Number of RDS Seeds,90,contact->genetic,0.0003135137543592247,0.00010870795724715313,33.652,31.296435835411035
Number of RDS Seeds,100,contact->genetic,0.0004033533952203526,0.00012711747465895474,44.684,49.941887669570534
Number of RDS Seeds,110,contact->genetic,0.0004811571924212477,0.00013760630655690906,54.508,62.90972846865578
Number of RDS Seeds,120,contact->genetic,0.0005522119230601698,0.00015535724800014205,60.752,63.822586096146246
Number of RDS Seeds,130,contact->genetic,0.000659902768830042,0.0001838043597879499,75.456,100.54992821479287
Number of RDS Seeds,140,contact->genetic,0.0007513825090322535,0.00018470880022942773,82.436,86.25301098512445
Number of RDS Seeds,150,contact->genetic,0.0008400057906342173,0.00018422767649691222,94.388,107.10812040176972
Number of RDS Seeds,200,contact->genetic,0.001518109282124756,0.0003217607706997915,168.84,180.46306658150306
Number of RDS Seeds,300,contact->genetic,0.0031991903724040735,0.0005173547630508196,352.944,375.2413474871873
Number of RDS Seeds,400,contact->genetic,0.005664118599276122,0.000816372076424171,635.844,694.1503609910463
Number of RDS Seeds,500,contact->genetic,0.008650010286581121,0.0010240620594615755,994.212,1292.3455230920251
Number of RDS Seeds,600,contact->genetic,0.012152561771764204,0.001384360403164655,1365.736,1515.541332430099
Number of RDS Seeds,10,contact->transmission,0.0007070699102986962,0.0009676115330057987,0.572,0.782825651087137
Number of RDS Seeds,20,contact->transmission,0.001203922677890899,0.0012132607238226514,0.972,0.9814356830684322
Number of RDS Seeds,30,contact->transmission,0.0019691940580671458,0.0016465076495962856,1.596,1.3389488414424204
Number of RDS Seeds,40,contact->transmission,0.002572676124764133,0.001841820945122389,2.08,1.4837789592793127
Number of RDS Seeds,50,contact->transmission,0.0033621778819030424,0.001996951425293255,2.72,1.6203703280423274
Number of RDS Seeds,60,contact->transmission,0.003898203865321516,0.0021228294301014745,3.152,1.7160699286451002
Number of RDS Seeds,70,contact->transmission,0.004847729998171197,0.0024034210029759734,3.92,1.947716611830376
Number of RDS Seeds,80,contact->transmission,0.005395244694716358,0.0027107138571567276,4.36,2.195996357009729
Number of RDS Seeds,90,contact->transmission,0.006356580136785428,0.0029018797537173615,5.132,2.3208998254987225
Number of RDS Seeds,100,contact->transmission,0.006768554632757412,0.002804289238744264,5.476,2.2806630614801477
Number of RDS Seeds,110,contact->transmission,0.007807837108336403,0.0033586817129717295,6.308,2.7094530813431703
Number of RDS Seeds,120,contact->transmission,0.008073261994712814,0.0031604189770517237,6.524,2.5521410619321183
Number of RDS Seeds,130,contact->transmission,0.009096149754457588,0.0032150492312700437,7.348,2.572721516215853
Number of RDS Seeds,140,contact->transmission,0.010031905149173247,0.003647111027847185,8.108,2.939444845544818
Number of RDS Seeds,150,contact->transmission,0.010348237762235809,0.003388055018500892,8.364,2.7348681869516125
Number of RDS Seeds,200,contact->transmission,0.014282458902720644,0.004175380923152267,11.548,3.388170007540944
Number of RDS Seeds,300,contact->transmission,0.021887309726532408,0.005283108241406934,17.704,4.312816249273785
Number of RDS Seeds,400,contact->transmission,0.02929001157489171,0.0059257464121709085,23.696,4.883808350048146
Number of RDS Seeds,500,contact->transmission,0.03768225432111559,0.006758924814195085,30.468,5.5158839726738265
Number of RDS Seeds,600,contact->transmission,0.045127530031884,0.007930093384400145,36.52,6.640000000000001
Number of RDS Seeds,10,social->genetic,0.007020853140346849,0.00820419111180371,690.4,842.1329966222676
Number of RDS Seeds,20,social->genetic,0.013638773949201552,0.004371415486623801,1516.836,1480.9036191136813
Number of RDS Seeds,30,social->genetic,0.026307765473081536,0.008264329790123969,2992.656,3802.6244939073326
Number of RDS Seeds,40,social->genetic,0.010769608653333089,0.013826249936899482,1169.524,2098.2488740433055
Number of RDS Seeds,50,social->genetic,0.00392597510666958,0.002233776538694467,440.512,541.8288381546334
Number of RDS Seeds,60,social->genetic,0.005306860609919694,0.0012487659958340528,604.348,696.3944018270107
Number of RDS Seeds,70,social->genetic,0.007124817220063035,0.001508985193568656,808.04,926.5436494844698
Number of RDS Seeds,80,social->genetic,0.00905773120474049,0.0017618645516197212,1003.556,1051.0771345928897
Number of RDS Seeds,90,social->genetic,0.01123575284372189,0.0019957195219282233,1257.432,1400.502823051778
Number of RDS Seeds,100,social->genetic,0.01382845782957596,0.002505253791007547,1596.704,1941.0421861422797
Number of RDS Seeds,110,social->genetic,0.01649339607178915,0.0023543049289154543,1826.476,1733.4010919068903
Number of RDS Seeds,120,social->genetic,0.01911863161434972,0.003001461410117564,2157.544,2379.4645582702005
Number of RDS Seeds,130,social->genetic,0.021890447029609194,0.003533367371993479,2470.3,2730.8702733744053
Number of RDS Seeds,140,social->genetic,0.02463609997826974,0.003704201197047892,2762.876,2904.6878862666126
Number of RDS Seeds,150,social->genetic,0.027790086595991623,0.003995573751667624,3181.18,3587.245849896547
Number of RDS Seeds,200,social->genetic,0.04509480908849468,0.006411784130471906,5150.86,6042.045690029165
Number of RDS Seeds,300,social->genetic,0.005582521691116658,0.0008242264390525308,629.328,698.069673038444
Number of RDS Seeds,400,social->genetic,0.00945966377380641,0.00127989423155469,1067.24,1256.256218452271
Number of RDS Seeds,500,social->genetic,0.014451994295628802,0.001719399800744203,1615.592,1669.6915001089274
Number of RDS Seeds,600,social->genetic,0.01958246406211092,0.0021616839435034435,2202.024,2316.119746348189
Number of RDS Seeds,10,social->transmission,0.01734145254955766,0.017195583226054134,14.076,14.063791238496112
Number of RDS Seeds,20,social->transmission,0.033620289428793526,0.01133896143716113,27.212,9.31874755533167
Number of RDS Seeds,30,social->transmission,0.060099711651418586,0.018900803389302792,48.624,15.384492971820684
Number of RDS Seeds,40,social->transmission,0.025051925974504768,0.03125437100260429,20.168,25.130932652808568
Number of RDS Seeds,50,social->transmission,0.01062313477809249,0.00667028736527495,8.6,5.480875842417889
Number of RDS Seeds,60,social->transmission,0.013744388275467267,0.00472176029314779,11.124,3.853910222099109
Number of RDS Seeds,70,social->transmission,0.018354518441269212,0.005709605042971989,14.844,4.650555235668103
Number of RDS Seeds,80,social->transmission,0.02249333952301481,0.006095244911600617,18.192,4.945617858266043
Number of RDS Seeds,90,social->transmission,0.026859133569088547,0.006918838902440692,21.72,5.5786736774971875
Number of RDS Seeds,100,social->transmission,0.03326540625011359,0.006961216008285283,26.904,5.677216219239848
Number of RDS Seeds,110,social->transmission,0.03900735032613566,0.008359305513570774,31.564,6.916495066144412
Number of RDS Seeds,120,social->transmission,0.04538721758091313,0.00909078847123586,36.74,7.582110524121895
Number of RDS Seeds,130,social->transmission,0.050827111083961485,0.00955981462485952,41.1,7.7842147966252835
Number of RDS Seeds,140,social->transmission,0.05666221168604926,0.01077657998356374,45.848,8.924174807790354
Number of RDS Seeds,150,social->transmission,0.06376883137782954,0.010978335878372153,51.588,9.055509704042064
Number of RDS Seeds,200,social->transmission,0.09666905297810845,0.014885821918933272,78.204,12.421368040598427
Number of RDS Seeds,300,social->transmission,0.012695007380422684,0.0041601481013325645,10.272,3.392641448782939
Number of RDS Seeds,400,social->transmission,0.020279260440515715,0.004909620065740336,16.404,4.0000979987995295
Number of RDS Seeds,500,social->transmission,0.03125952898879139,0.006399398327326684,25.272,5.161977915489372
Number of RDS Seeds,600,social->transmission,0.041638982525015834,0.007359234897218451,33.68,6.0426484259801185
